"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2020","1","14","Spider-Man storybook collection.",,"Spider Man Fictitious character Fiction, Superheroes Fiction, Adventure stories, Adventure and adventurers Fiction, Short stories, Action and adventure fiction, Picture books","Marvel,","2016."
"Physical","Horizon","BOOK","2020","1","1","Missing person / Patrick Modiano ; translated from the French by Daniel Weissbort.","Modiano, Patrick, 1945-","Amnesia Fiction, Paris France Fiction","David R. Godine,","2005."
"Digital","OverDrive","EBOOK","2020","1","1","Attack of the Dragons: Geronimo Stilton Micekings Series, Book 1","Geronimo Stilton","Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)","2016"
"Physical","Horizon","BOOK","2020","1","4","Figure drawing methods for artists : over 130 methods for sketching, drawing, and artistic discovery / Peter Boerboom and Tim Proetel.","Boerboom, Peter, 1965-","Figure drawing Technique","Rockport,","c2017."
"Digital","OverDrive","EBOOK","2020","1","2","Hero","Rhonda Byrne","New Age, Nonfiction, Self-Improvement","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","1","1","Pox: An American History","Michael Willrich","History, Nonfiction","Penguin Group (USA), Inc.","2011"
"Physical","Horizon","VIDEODISC","2020","1","3","Baraka / a Mark Magidson Production ; a Ron Fricke film ; original treatment written by Genevieve Nicholas, Constantine Nicholas, Ron Fricke ; concept & scenario by Ron Fricke, Mark Magidson, Bob Green ; produced by Mark Magidson ; directed & photographed by Ron Fricke. ; restoration producer, Christopher M. Reyna.",,"Rites and ceremonies, Human geography, Worship, Religious life, Nature Effect of human beings on, Human ecology, Documentary films, Nonfiction films","Magidson Films,","[2008]"
"Physical","Horizon","BOOK","2020","1","7","Journey to the Orange Islands / adapted by Tracey West.","West, Tracey, 1965-","Pok‚mon Fictitious characters Juvenile fiction, Animals Mythical Juvenile fiction, Friendship Juvenile fiction, Fantasy, Fantasy fiction","Scholastic,","[2017]"
"Physical","Horizon","BOOK","2020","1","1","The everything kids' learning Spanish book : exercises and puzzles to help you learn español / Cecilia I. Sojo.","Sojo, Cecilia I.","Spanish language Textbooks for foreign speakers Juvenile literature, Spanish language Conversation and phrase books English Juvenile literature, Spanish language Study and teaching","Adams Media,","2010."
"Physical","Horizon","BOOK","2020","1","3","Barack / by Jonah Winter ; illustrated by A.G. Ford.","Winter, Jonah, 1962-","Obama Barack Juvenile literature, United States Congress Senate Biography Juvenile literature, United States Congress Senate Juvenile literature, Presidential candidates United States Biography Juvenile literature, Legislators United States Biography Juvenile literature, African American legislators Biography Juvenile literature, Racially mixed people United States Biography Juvenile literature, Presidential candidates United States Juvenile literature, Legislators United States Juvenile literature, African Americans Biography Juvenile literature, Racially mixed people United States Juvenile literature","Collins/Katherine Tegen Books,","2008."
"Digital","OverDrive","EBOOK","2020","1","1","Churchill","Paul Johnson","Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.","2009"
"Physical","Horizon","BOOK","2020","1","1","Ty Cobb : a terrible beauty / Charles Leerhsen.","Leerhsen, Charles","Cobb Ty 1886 1961, Baseball players United States Biography","Simon & Schuster,","2015."
"Physical","Horizon","BOOK","2020","1","1","Score one for the sloths / Helen Lester ; illustrated by Lynn Munsinger.","Lester, Helen","Sloths Juvenile fiction, Schools Fiction, Wild boar Juvenile fiction","Houghton Mifflin,","2001."
"Physical","Horizon","VIDEODISC","2020","1","5","Family guy. Volume 3 / 20th Century Fox Television ; Fuzzy Door Productions.",,"Families Drama, Television series, Animated television programs, Video recordings for the hearing impaired, Television comedies","20th Century Fox Home Entertainment,","[2005]"
"Physical","Horizon","BOOK","2020","1","1","Parrots over Puerto Rico / by Susan L. Roth and Cindy Trumbore ; collages by Susan L. Roth.","Roth, Susan L.","Puerto Rican parrot Juvenile literature, Puerto Rican parrot Conservation Juvenile literature, Endangered species Puerto Rico Juvenile literature, Natural history Puerto Rico Juvenile literature, Parrots Juvenile literature, Endangered species Juvenile literature, Natural history Juvenile literature, Puerto Rico Environmental conditions Juvenile literature, Puerto Rico Juvenile literature","Lee & Low Books Inc.,","2013."
